Romance,Dinner for two,Dining out
Purchase,Electronics Purchase - Online Store,Electronics
CEO,Senior manager club joining fee,Entertainment
Purchase,Sport event tickets,Entertainment
Romance,Emergency Medical Expense for My Partner,Healthcare
Romance,Emergency medical transfer,Healthcare
Purchase,Hotel Reservation - Travel Website,Holiday
Purchase,Air bnb extra cleaning fees,Holiday
Romance,Plane Ticket for Our Dream Vacation,Holiday
Romance,Canary island holiday ,Holiday
Investment,Exclusive Investment Offer - Limited Time,Investment
Investment,Guaranteed Returns - Investment Portfolio,Investment
Investment,Binary Options Investment - Instant Profits,Investment
Investment,Commodity Futures Investment - High-Yield,Investment
Investment,Bitcoin Doubler - Double Your Coins,Investment
Investment,Diamond Investment Fund - High-Value Returns,Investment
Investment,Foreign Exchange Investment - Safe and Secure,Investment
Romance,Online Gift Purchase for My New Love,Online shopping
AdvanceFee,"Claim Your Lottery Winnings - Processing Fee""",Shopping
AdvanceFee,eBay securitng item payment,Shopping
Investment,High-Yield Investment Opportunity,Shopping
Investment,Property Investment Purchase - Exclusive Deal,Shopping
Investment,Forex Trading Profits - Expert Strategy,Shopping
Investment,Options Trading Returns - No Risk Strategy,Shopping
InvoiceMandate,Supplier Payment - Updated Bank Details,Shopping
InvoiceMandate,Vendor Invoice - New Account Information,Shopping
InvoiceMandate,Contractor Payment - Revised Payment Instructions,Shopping
InvoiceMandate,Contractor Invoice Payment - New Bank Account,Shopping
InvoiceMandate,Invoice Payment Change - Supplier Details Update,Shopping
InvoiceMandate,Invoice Settlement - Payment Account Amendment,Shopping
InvoiceMandate,Payment to Supplier - Account Details Amendment,Shopping
InvoiceMandate,Invoice Payment Revision - Vendor Account,Shopping
InvoiceMandate,Invoice Payment Amendment,Shopping
InvoiceMandate,Vendor Banking Update,Shopping
Purchase,Designer Handbag - Luxury Boutique,Shopping
Purchase,ClothesOnline additional posting payment,Shopping
Purchase,eBay Fee For Requested Refund,Shopping
CEO,Urgent Wire Transfer Request from CEO,Transfers
CEO,Confidential Transaction - Follow CEO's Instructions,Transfers
CEO,Important Financial Transaction - CEO Approval,Transfers
CEO,Bayer Pharmaceuticals lab supplied order,Transfers
CEO,HR processing fees,Transfers
CEO,Urgent wire transfer requested by CEO for confidential,Transfers
CEO,Transaction approved by CFO for acquisition deal,Transfers
CEO,Wire Transfer - Confidential Acquisition,Transfers
Impersonation,IRS Tax Payment - Urgent Action Required,Transfers
Impersonation,Bank Account Verification - Immediate Response Needed,Transfers
Impersonation,Legal Penalty Settlement,Transfers
Romance,"Money transfer - partner, emergency fund",Transfers
AdvanceFee,Inheritance Release - Pay the Legal Fees,Utilities
AdvanceFee,Grant Approval - Small Processing Charge,Utilities
AdvanceFee,Inheritance release banking charges covered,Utilities
AdvanceFee,InvestToday initial amount,Utilities
AdvanceFee,WinBet Request Winnings Fee,Utilities
CEO,W2 Employee enrollment fees,Utilities
Impersonation,Law Enforcement Fine - Pay Now to Avoid Arrest,Utilities
Impersonation,HMRC tax rebate upfront fee,Utilities
Impersonation,Police Admin Fees,Utilities
Impersonation,V&I visa check fees ,Utilities
Impersonation,Payment for Outstanding Tax Fine,Utilities
Impersonation,Traffic Violation Fine,Utilities
Purchase,Facebook Marketplace Upfront payment,Utilities
Romance,Mortgage assistance,Utilities
